Ma	Ma_L	Ma_U	pCO2	pCO2_L1?	pCO2_U1?	pCO2_L2?	pCO2_U2?
150	152.1	145	726.2058382	511.0783443	1041.882298	373.6718784	1546.017648
150	152.1	145	788.3113111	545.5189921	1157.04581	397.4598585	1775.469896
150	150	138	600.9760353	423.5081642	858.7270425	307.9675978	1249.613877
154.7	157.3	152.1	676.2864664	483.1140321	939.5021676	360.7248766	1304.799451
154.7	157.3	152.1	705.4966862	502.2276176	989.7704622	372.9845529	1400.574584
154.7	157.3	152.1	742.7907882	528.2329392	1055.544122	389.4681407	1513.884126
154.7	157.3	152.1	660.8100618	475.4433841	916.4137105	354.5311568	1264.948761
154.7	157.3	152.1	784.7554035	553.6945837	1118.834389	407.3712879	1644.316592
154.7	157.3	152.1	651.7840843	469.2718224	900.1908062	351.6726264	1243.266072
154.7	157.3	152.1	686.3031285	492.3368948	958.0609742	366.4600351	1349.208961
154.7	157.3	152.1	784.2461324	552.856662	1117.902814	406.3006107	1636.037719
154.7	157.3	152.1	535.1239776	389.351258	721.0909271	297.3593068	949.0612311
155	164	145	1017.992013	679.4560862	1615.614532	473.394295	3037.00959
155	157.3	152.1	930.9275615	664.8038801	1309.538604	493.1364691	1887.38143
159	166	152	812.9000034	588.7176172	1112.218262	444.7804463	1521.403959
159	166	152	758.8510666	553.2782783	1026.827799	421.7279392	1382.979034
177	182.7	174.1	940.2188364	643.0766203	1428.318942	460.9452411	2326.972132
177	182.7	174.1	989.7183593	672.2291833	1521.963526	481.164255	2617.197607
178	182.7	174.1	677.7420498	486.5896619	946.5390198	363.5714148	1316.626222
178	182.7	174.1	1018.964192	691.5072355	1563.116772	490.9349208	2677.713261
178	182.7	174.1	973.0286093	664.3673528	1484.864396	471.1084965	2522.773518
178	182.7	174.1	1021.716558	689.9719712	1586.370814	490.2073001	2765.444277
178	182.7	174.1	808.3473827	565.3539883	1168.636729	411.9174818	1748.340654
178	182.7	174.1	666.9172403	478.3327638	928.4075007	356.0096866	1299.479869
178	182.7	174.1	694.2248216	495.6947693	972.9168014	366.6612307	1365.414855
179	182.7	174.1	970.8522975	660.2243446	1479.806861	469.4947477	2495.764919
179	182.7	174.1	1040.516723	699.4567103	1630.665417	494.6070166	2897.96153
180	182.7	174.1	1012.234825	686.4393797	1566.923515	483.5435598	2736.89735
180	182.7	174.1	956.4116926	650.5272727	1453.181406	466.2590267	2415.94295
181	182.7	174.1	984.9360867	673.3139579	1506.542428	479.0960515	2586.22764
181	182.7	174.1	999.0246587	676.4791561	1540.827767	478.484876	2634.107296
182	191	174	794.5304926	557.9569412	1138.667816	407.9426325	1676.402903
182	182.7	174.1	983.8665846	669.0653083	1502.269574	473.9755209	2547.972332
184	186	182	643.6881217	459.4662957	898.5073646	341.5031179	1251.061598
200	201	199	873.4427772	608.4079373	1282.779616	439.1819635	1960.682045
205	209	201.3	1231.160997	826.0106461	1957.585527	580.6803641	3629.323697
226	232	220	1036.362082	720.6632061	1526.868354	524.0298518	2414.477804
226	232	220	1019.221992	712.8245152	1489.737643	517.4242878	2320.718788
226	232	220	1587.958826	1014.978277	2769.865752	679.5559702	6622.982787
237	242	232	739.0518627	516.8760505	1056.332698	378.0345178	1553.534016
242	247.2	237	684.4263625	481.4872162	978.9368907	353.5169204	1427.274473
246	252.17	251.2	1188.017005	815.6525055	1796.286208	584.5277451	2973.412126
247	252.17	251.2	1058.874286	741.4456567	1548.398013	539.5623343	2360.951425
247	252.17	251.2	1621.806045	1042.568923	2800.778106	703.927891	6552.123611
248	252.17	251.2	422.5712862	298.6884101	594.7402264	219.2250227	829.1834304
253	254.14	252.17	872.5115096	622.2991028	1231.904529	461.633982	1773.385859
253	254.14	252.17	1088.767513	753.9138527	1615.894485	545.7279219	2613.063526
256	259.8	252.17	695.4880914	478.6690499	1031.221073	343.8463049	1608.435666
262	268.8	252.17	571.9447611	412.2805444	784.4652913	306.5137071	1069.983396
262	268.8	252.17	460.3459402	336.8753073	615.8229924	256.59139	803.2625464
343	358.9	323.2	496.8622505	347.7505462	718.5768791	248.9807557	1061.796238
355	363	347	270.2837304	191.9675125	376.707687	140.6147701	510.9629629
355	363	347	502.4655606	329.6387306	789.1239109	227.1944647	1398.06694
372	382.7	358.9	939.2962788	667.7542026	1320.166137	496.9570174	1907.055011
372	382.7	358.9	1113.640507	773.2378735	1631.896107	563.600333	2552.672235
377	379	377	946.469468	672.7132144	1339.230113	500.3647804	1955.27136
377	379	377	1161.202409	805.2988293	1716.807079	577.6206699	2761.818982
377	382	375	903.7056379	641.9769313	1278.466484	474.3487795	1844.952028
378	379	377	1308.29385	892.8787836	2019.673324	638.5996418	3540.731303
378	379	377	975.0060257	675.7532993	1436.706506	488.9255102	2261.093884
378	382	375	878.2747588	626.1314262	1235.900357	466.4749138	1755.108225
379	379	377	1030.275085	707.1101766	1539.57654	511.0518342	2510.020668
379	379	377	927.9943076	648.3209411	1342.963517	473.2232111	2064.883421
379	382.7	372.2	936.3619614	653.8740884	1372.143661	472.4828458	2083.965321
379	382	375	955.2362759	679.9535964	1351.274756	504.2644279	1962.751406
379	382	375	947.3501643	671.6377304	1359.246854	495.5469074	2003.989427
379	382	375	993.7152692	697.6893972	1437.819063	511.9115245	2179.778379
380	382	375	833.4870868	590.3379945	1183.191728	435.1850665	1712.047591
383	385	380	1241.163613	815.1483196	2029.150816	561.7978751	4081.041869
383	385	380	1262.453746	830.6313726	2086.589146	570.8100461	4304.702446
383	385	380	1088.336272	737.2442086	1691.671425	520.7690494	2992.867876
383	385	380	1020.462577	695.0006744	1554.723882	496.756922	2632.80163
383	385	380	1355.912282	877.5588717	2331.20582	586.5046301	5270.990386
388	393.3	382.7	722.6735741	513.8909929	1015.274248	379.2199333	1438.853171
431.5	443.8	419.2	508.8280989	358.9345888	719.5736374	262.2160099	1019.285849
438	444	433	665.5011609	484.205575	897.8244845	366.6989841	1195.172014
450	458.4	443.4	679.8094464	465.9219346	1019.005966	330.0807685	1644.151545
450	458.4	443.4	655.4834349	451.6070773	972.6641441	321.5852341	1528.957699
450	458.4	443.4	657.3059621	451.3779462	973.1829876	322.8354926	1539.817171
450	458.4	443.4	718.0757096	486.0939272	1095.371179	342.4512833	1816.887906
450	458.4	443.4	568.7249207	397.3184103	818.4067917	288.8547429	1211.412476
450	458.4	443.4	715.7382878	485.3471161	1092.675405	343.1253237	1816.404344
450	458.4	443.4	691.0183916	470.9361058	1041.988066	334.4284585	1689.218976
450	458.4	443.4	561.7154345	390.5109681	819.0616457	282.2400759	1231.919451
450	458.4	443.4	599.6189063	410.9527343	889.44255	294.7890969	1388.634967
450	458.4	443.4	561.6910839	390.5079853	823.2951845	279.4071182	1236.537872
