Age	CO2	CO2do	CO2up	Study	
#DelaVega data includes Martinez-Boti et al. 2015 data recalculated. G. ruber					
1090	218.00	186.00	251.00	Chalk2017.MPT	
1092.7	237.00	202.00	273.00	Chalk2017.MPT	
1094.7	247.00	210.00	284.00	Chalk2017.MPT	
1099.5	323.00	280.00	367.00	Chalk2017.MPT	
1102.4	301.00	260.00	344.00	Chalk2017.MPT	
1103.2	287.00	244.00	331.00	Chalk2017.MPT	
1106.2	242.00	208.00	278.00	Chalk2017.MPT	
1107.8	261.00	223.00	299.00	Chalk2017.MPT	
1110.3	282.00	243.00	321.00	Chalk2017.MPT	
1112.8	242.00	206.00	278.00	Chalk2017.MPT	
1115.3	222.00	189.00	256.00	Chalk2017.MPT	
1117.9	209.00	177.00	241.00	Chalk2017.MPT	
1120.4	243.00	208.00	279.00	Chalk2017.MPT	
1123.1	197.00	166.00	228.00	Chalk2017.MPT	
1126.1	243.00	208.00	280.00	Chalk2017.MPT	
1127.8	242.00	206.00	278.00	Chalk2017.MPT	
1131	247.00	212.00	283.00	Chalk2017.MPT	
1136.6	292.00	254.00	333.00	Chalk2017.MPT	
1140	308.00	266.00	354.00	Chalk2017.MPT	
1143.2	280.00	239.00	323.00	Chalk2017.MPT	
1145.3	298.00	257.00	342.00	Chalk2017.MPT	
1148.9	315.00	266.00	367.00	Chalk2017.MPT	
1150.9	262.00	224.00	301.00	Chalk2017.MPT	
1154.1	246.00	210.00	284.00	Chalk2017.MPT	
1157.8	302.00	260.00	347.00	Chalk2017.MPT	
1160.7	311.00	269.00	357.00	Chalk2017.MPT	
1162.9	274.00	236.00	313.00	Chalk2017.MPT	
1169.9	283.00	246.00	324.00	Chalk2017.MPT	
1177.6	272.00	234.00	310.00	Chalk2017.MPT	
1179.7	262.00	224.00	300.00	Chalk2017.MPT	
1181.8	229.00	195.00	262.00	Chalk2017.MPT	
1184.1	222.00	189.00	256.00	Chalk2017.MPT	
1186	254.00	219.00	293.00	Chalk2017.MPT	
1188.1	264.00	227.00	302.00	Chalk2017.MPT	
1191.3	211.00	180.00	244.00	Chalk2017.MPT	
1195.2	203.00	172.00	236.00	Chalk2017.MPT	
1203.3	189.00	160.00	220.00	Chalk2017.MPT	
1206.8	213.00	181.00	245.00	Chalk2017.MPT	
1210	235.00	201.00	272.00	Chalk2017.MPT	
1214.5	288.00	249.00	328.00	Chalk2017.MPT	
1216.4	272.00	234.00	312.00	Chalk2017.MPT	
1218.5	301.00	259.00	346.00	Chalk2017.MPT	
1224.2	253.00	215.00	290.00	Chalk2017.MPT	
1227.2	271.00	233.00	311.00	Chalk2017.MPT	
1230.7	314.00	270.00	360.00	Chalk2017.MPT	
1233.9	295.00	255.00	337.00	Chalk2017.MPT	
1236.2	260.00	224.00	298.00	Chalk2017.MPT	
1239.8	266.00	228.00	305.00	Chalk2017.MPT	
1243.3	289.00	250.00	328.00	Chalk2017.MPT	
#G. ruber					
