"age" "pmaxCO2" "lw95" "lw68" "up68" "up95"
13.50166 402.064849034724 332.534334147338 360.225589881961 428.509113577687 457.01022196112
14.00166 392.907093020658 334.297525941223 364.504069773395 432.319499186039 462.011444834302
14.50166 408.270768488972 335.440310851165 366.933416873465 434.858428884237 464.859229589869
15.00166 407.48500210605 337.367397688372 367.531242731121 437.700856790484 467.471377232847
15.50166 404.040603052683 336.555257670126 367.518067025783 440.235387256595 471.689649927487
16.00166 401.353802073516 331.123599201935 367.855574392986 442.82976042388 473.847072341072
16.50166 401.590495134612 330.074547302918 365.748625270374 446.120238821917 479.749295043849
17.00166 402.846475779329 325.625181275482 365.777493428656 449.84118324904 485.865728346286
17.50166 405.651373620656 326.857269946754 367.172327987037 455.219973717937 490.503237753736
18.00166 407.449036364695 328.662640590014 369.684530861542 458.025964633971 494.865517730176
18.50166 410.406832878927 331.096573890604 371.463042375491 459.692147791418 498.939267332564
19.00166 413.317278731779 329.690575072414 370.884551359569 462.280362571091 503.856986114575
19.50166 415.324558755275 328.033890919858 370.035591981036 465.331388541839 508.704703421556
20.00166 413.021867652347 325.908629502462 370.157620663222 470.328910633013 515.910385502456
20.50166 416.348549998983 328.336977758967 372.080882492137 476.701984572687 524.81791711193
21.00166 429.139728079871 330.952062484655 378.260721798082 485.302967424097 534.388932965997
21.50166 443.769373951841 340.628863330416 386.431667440097 493.292502307198 546.395519966505
22.00166 458.029100396716 352.424474283886 396.734143099407 505.526107673783 560.066414236052
22.50166 470.122201329176 360.490755088947 410.141115947752 521.96494433562 577.871676795155
23.00166 477.078808436617 372.283441149333 422.337001640119 541.618619223818 599.85223768074
23.50166 489.568872832126 380.718171013778 432.079835609821 560.442357228228 625.262718451198
24.00166 497.982546530393 385.07318171037 442.479323642557 578.410197597089 646.612817384576
24.50166 505.942931246653 389.452416669016 451.185436256168 592.050087867633 667.547051672361
25.00166 519.117811851418 396.704189482189 462.942340345277 608.95856367348 682.188416458001
25.50166 536.808913088714 410.082992494828 477.488816644723 629.248544724042 704.462218409857
26.00166 553.269419916065 421.31328486095 490.472750780582 652.173805634376 736.052535440725
26.50166 575.716009087802 433.965880938348 502.21303345135 679.394971527836 768.774497802424
27.00166 624.710805458602 444.439558939049 513.94814414738 705.888765832076 798.649560953638
27.50166 638.027103201672 452.299442034419 519.867441823267 725.578980306054 826.764169875602
28.00166 645.897548009198 457.674874387823 525.676275678816 739.916422366069 845.47790624876
28.50166 647.697090199369 459.965390915299 530.287916931771 745.21322191068 855.413307601698
29.00166 646.120170464157 461.540262818107 539.322688110692 748.683847807233 859.623593470257
29.50166 646.612845174558 464.66859889712 541.366755120868 748.953591263764 859.789921677764
30.00166 655.300936918597 466.427647132174 540.005735763204 752.708415866707 854.718233200056
30.50166 666.555548727399 463.205216339106 539.809036056005 753.474317948504 855.819190482755
31.00166 674.189949773754 464.083282418198 540.903612115631 754.837463276831 857.032131075683
31.50166 668.027302046237 467.719480087177 538.023032058764 755.726386873552 852.302728241863
32.00166 641.119748697589 472.774640043601 536.567439164255 752.147485953011 850.059392702488
32.50166 626.741106904765 470.026765180167 533.657557454199 743.846115938503 835.319161412779
33.00166 616.629848680974 460.417361098139 528.340035616987 735.070438274997 818.83945679946
33.50166 601.886111284304 441.425306426766 514.724091433848 723.688207869477 801.673321881235
34.00166 569.947580233747 399.480114899146 499.601380123686 716.805505919606 812.050236907265
34.50166 553.213043658688 364.219114047856 474.434607719763 713.018328652297 824.250621739512
35.00166 536.738574808261 327.965063359327 454.347483653502 711.414302526783 834.284381503939
35.50166 532.136149966669 309.149988188133 443.035764167727 709.611549867453 844.48378051351
