SOURCE	Age	CO2.2.5	CO2.16	CO2.50	CO2.84	CO2.97.5
CHALK	1.21E+00	2.30E-04	2.84E-04	3.17E-04	3.52E-04	4.31E-04
CHALK	1.22E+00	2.20E-04	2.70E-04	3.01E-04	3.35E-04	4.10E-04
CHALK	1.22E+00	2.37E-04	2.94E-04	3.29E-04	3.66E-04	4.46E-04
CHALK	1.22E+00	2.09E-04	2.56E-04	2.85E-04	3.16E-04	3.86E-04
CHALK	1.23E+00	2.19E-04	2.70E-04	3.01E-04	3.34E-04	4.10E-04
CHALK	1.23E+00	2.46E-04	3.05E-04	3.40E-04	3.80E-04	4.68E-04
HONISCH	1.23E+00	2.27E-04	2.81E-04	3.14E-04	3.50E-04	4.29E-04
CHALK	1.23E+00	2.38E-04	2.93E-04	3.25E-04	3.62E-04	4.45E-04
CHALK	1.24E+00	2.14E-04	2.64E-04	2.93E-04	3.25E-04	3.94E-04
HONISCH	1.24E+00	2.48E-04	3.06E-04	3.41E-04	3.81E-04	4.69E-04
CHALK	1.24E+00	2.17E-04	2.68E-04	2.99E-04	3.32E-04	4.05E-04
CHALK	1.24E+00	2.38E-04	2.90E-04	3.22E-04	3.57E-04	4.34E-04
HONISCH	1.25E+00	1.89E-04	2.35E-04	2.63E-04	2.91E-04	3.55E-04
HONISCH	1.26E+00	2.20E-04	2.73E-04	3.04E-04	3.38E-04	4.16E-04
HONISCH	1.35E+00	2.54E-04	3.16E-04	3.52E-04	3.94E-04	4.87E-04
HONISCH	1.41E+00	2.06E-04	2.52E-04	2.81E-04	3.11E-04	3.79E-04
SOSDIAN	1.43E+00	1.80E-04	2.20E-04	2.45E-04	2.70E-04	3.27E-04
HONISCH	1.50E+00	2.31E-04	2.87E-04	3.20E-04	3.56E-04	4.38E-04
SOSDIAN	1.53E+00	1.68E-04	2.05E-04	2.29E-04	2.53E-04	3.06E-04
HONISCH	1.58E+00	2.04E-04	2.51E-04	2.79E-04	3.11E-04	3.79E-04
HONISCH	1.65E+00	2.03E-04	2.50E-04	2.79E-04	3.10E-04	3.81E-04
HONISCH	1.67E+00	1.56E-04	1.93E-04	2.15E-04	2.38E-04	2.88E-04
HONISCH	1.67E+00	1.95E-04	2.41E-04	2.68E-04	2.99E-04	3.65E-04
HONISCH	1.85E+00	1.82E-04	2.25E-04	2.49E-04	2.76E-04	3.35E-04
HONISCH	1.86E+00	1.48E-04	1.83E-04	2.04E-04	2.25E-04	2.73E-04
SOSDIAN	1.88E+00	1.57E-04	1.93E-04	2.14E-04	2.37E-04	2.87E-04
HONISCH	1.93E+00	2.00E-04	2.46E-04	2.73E-04	3.04E-04	3.69E-04
HONISCH	1.95E+00	1.38E-04	1.69E-04	1.87E-04	2.06E-04	2.50E-04
HONISCH	1.95E+00	1.41E-04	1.74E-04	1.92E-04	2.13E-04	2.57E-04
HONISCH	1.96E+00	1.37E-04	1.67E-04	1.86E-04	2.06E-04	2.49E-04
