#using CO2 from Dana Dec2016						
Age	Age.er	CO2	do.er	up.er	er	method
204.64	8.1856	1973.3333	1251.5333	2695.1333	721.8	psols
204.66	8.1864	2023.8	1269.6667	2777.9333	754.1333	psols
205	8.2	1376.6667	688.3333	2753.3333	1032.5	psols
205.15	3.85	1233.5467	616.7733	2467.0933	925.16	psols
205.15	3.85	1293.6933	646.8467	2587.3867	970.27	psols
205.15	3.85	1626.42	813.21	3252.84	1219.815	psols
205.4	4.1	341	170.5	682	255.75	psols
205.4	4.1	513	256.5	1026	384.75	psols
205.4	4.1	613.5	306.75	1227	460.125	psols
205.4	4.1	622.5	311.25	1245	466.875	psols
205.4	4.1	661	330.5	1322	495.75	psols
205.4	4.1	773	386.5	1546	579.75	psols
205.4	4.1	843	421.5	1686	632.25	psols
205.4	4.1	862.6667	431.3333	1725.3333	647	psols
205.4	4.1	879.5	439.75	1759	659.625	psols
205.4	4.1	961	480.5	1922	720.75	psols
205.4	4.1	1030	515	2060	772.5	psols
205.4	4.1	1084.6667	542.3333	2169.3333	813.5	psols
205.4	4.1	1171	585.5	2342	878.25	psols
205.4	4.1	1191.3333	595.6667	2382.6667	893.5	psols
205.4	4.1	1202	601	2404	901.5	psols
205.4	4.1	1213.5	606.75	2427	910.125	psols
205.4	4.1	1267	633.5	2534	950.25	psols
205.4	4.1	1556.6667	778.3333	3113.3333	1167.5	psols
205.4	4.1	1618.5	809.25	3237	1213.875	psols
205.4	4.1	1702	851	3404	1276.5	psols
205.4	4.1	1776.6667	888.3333	3553.3333	1332.5	psols
205.4	4.1	1782.6667	891.3333	3565.3333	1337	psols
205.4	4.1	1966.6667	983.3333	3933.3333	1475	psols
205.91	8.2364	2157.8667	1351.2	2964.5333	806.6667	psols
205.93	8.2372	2103.8667	1316.6667	2891.0667	787.2	psols
207.22	8.2888	1962.8	1245.6667	2679.9333	717.1333	psols
207.31	8.2924	2275.6	1405.2	3146	870.4	psols
207.4	8.296	1978	989	3956	1483.5	psols
207.49	8.2996	2723.7333	1657.0667	3790.4	1066.6667	psols
207.81	8.3124	2505.3333	1539.1333	3471.5333	966.2	psols
207.9	8.316	1035	517.5	2070	776.25	psols
207.94	8.3176	2508.4	1519.4	3497.4	989	psols
208	8.32	1193	596.5	2386	894.75	psols
208.006	8.3202	964	482	1928	723	psols
208.05	8.322	2953.1333	1574.9333	4331.3333	1378.2	psols
208.1	8.324	875	437.5	1750	656.25	psols
208.211	8.3284	1179	589.5	2358	884.25	psols
208.3	8.332	601	300.5	1202	450.75	psols
208.3	8.332	2953.1333	1764	4142.2667	1189.1333	psols
208.37	8.3348	2831.7333	1713.2	3950.2667	1118.5333	psols
208.417	8.3367	904	452	1808	678	psols
208.6	8.344	710	355	1420	532.5	psols
208.623	8.3449	1869	934.5	3738	1401.75	psols
208.966	8.3586	1063	531.5	2126	797.25	psols
209	8.36	536	268	1072	402	psols
209.16	8.3664	3191.0667	1877.7333	4504.4	1313.3333	psols
209.172	8.3669	1406	703	2812	1054.5	psols
209.309	8.3724	1025	512.5	2050	768.75	psols
209.515	8.3806	1220	610	2440	915	psols
209.583	8.3833	529	264.5	1058	396.75	psols
209.652	8.3861	665	332.5	1330	498.75	psols
209.7	8.388	729	364.5	1458	546.75	psols
209.857	8.3943	777	388.5	1554	582.75	psols
209.9	8.396	766	383	1532	574.5	psols
209.926	8.397	1080	540	2160	810	psols
210.01	8.4004	2756	1663.9333	3848.0667	1092.0667	psols
210.081	8.4032	420	210	840	315	psols
210.31	8.4124	2295.5333	1437	3154.0667	858.5333	psols
210.39	8.4156	219	109.5	438	164.25	psols
210.7	1.2	268.5	134.25	537	201.375	psols
210.7	1.2	344	172	688	258	psols
210.7	1.2	371.5	185.75	743	278.625	psols
210.7	1.2	377	188.5	754	282.75	psols
210.7	1.2	559.5	279.75	1119	419.625	psols
210.75	8.43	2605.6	1579.2	3632	1026.4	psols
211	8.44	548	274	1096	411	psols
211.061	8.4424	726	363	1452	544.5	psols
211.164	8.4466	616	308	1232	462	psols
211.3	8.452	521	260.5	1042	390.75	psols
211.422	8.4569	749	374.5	1498	561.75	psols
211.5	8.46	422	211	844	316.5	psols
211.525	8.461	643	321.5	1286	482.25	psols
211.56	8.4624	1623.4	1046.9333	2199.8667	576.4667	psols
211.57	8.4628	2236.6	1366.7333	3106.4667	869.8667	psols
211.68	8.4672	683	341.5	1366	512.25	psols
211.7	8.468	494	247	988	370.5	psols
211.75	2.25	544	272	1088	408	psols
211.75	2.25	643.3333	321.6667	1286.6667	482.5	psols
211.75	2.25	1191.3333	595.6667	2382.6667	893.5	psols
211.75	2.25	1295.3333	647.6667	2590.6667	971.5	psols
211.75	2.25	1348.6667	674.3333	2697.3333	1011.5	psols
211.75	2.25	1367.3333	683.6667	2734.6667	1025.5	psols
211.75	2.25	1442.6667	721.3333	2885.3333	1082	psols
211.75	2.25	1516	758	3032	1137	psols
211.75	2.25	1596	798	3192	1197	psols
211.75	2.25	1666.6667	833.3333	3333.3333	1250	psols
211.75	2.25	1678	839	3356	1258.5	psols
211.75	2.25	1702	851	3404	1276.5	psols
211.89	8.4756	1942.2667	1220.2667	2664.2667	722	psols
211.9	2.1	666.6667	333.3333	1333.3333	500	psols
211.9	0.7	748.82	374.41	1497.64	561.615	psols
211.9	0.7	786.36	393.18	1572.72	589.77	psols
211.9	8.476	1135.3333	567.6667	2270.6667	851.5	psols
211.9	8.476	1183.3333	591.6667	2366.6667	887.5	psols
211.9	2.1	1264	632	2528	948	psols
211.9	8.476	1376	688	2752	1032	psols
211.9	8.476	1478.6667	739.3333	2957.3333	1109	psols
212.144	8.4858	708	354	1416	531	psols
212.2	8.488	340	170	680	255	psols
212.247	8.4899	713	356.5	1426	534.75	psols
212.3	8.492	508	254	1016	381	psols
212.35	8.494	522	261	1044	391.5	psols
212.5	8.5	385	192.5	770	288.75	psols
212.505	8.5002	1463	731.5	2926	1097.25	psols
212.557	8.5023	738	369	1476	553.5	psols
212.7	8.508	573	286.5	1146	429.75	psols
212.9	8.516	526	263	1052	394.5	psols
212.969	8.5188	523	261.5	1046	392.25	psols
213.08	8.5232	2635.6	1574.4	3696.8	1061.2	psols
213.1	8.524	480	240	960	360	psols
213.124	8.525	501	250.5	1002	375.75	psols
213.175	8.527	546	273	1092	409.5	psols
213.326	8.533	500	250	1000	375	psols
213.478	8.5391	443	221.5	886	332.25	psols
214	8.56	467	233.5	934	350.25	psols
214.4	8.576	360	180	720	270	psols
214.727	8.5891	355	177.5	710	266.25	psols
214.95	8.598	3194.3333	1872.6667	4516	1321.6667	psols
215	8.6	3087.8	1802.5333	4373.0667	1285.2667	psols
215.06	8.6024	3123.2	1826.4667	4419.9333	1296.7333	psols
215.19	8.6076	3722.4	2095.0667	5349.7333	1627.3333	psols
215.26	8.6104	3395.7333	1938.8667	4852.6	1456.8667	psols
215.44	8.6176	3218.0667	1867.2667	4568.8667	1350.8	psols
215.58	8.6232	3113.6	1808.1333	4419.0667	1305.4667	psols
215.6	8.624	3132.3333	1844.4	4420.2667	1287.9333	psols
215.7	8.628	3240.6	1883.7333	4597.4667	1356.8667	psols
215.8	8.632	455	227.5	910	341.25	psols
215.98	8.6392	2470.2	1504.6667	3435.7333	965.5333	psols
216.19	8.6476	2767	1582.4	3951.6	1184.6	psols
218.17	8.7268	3183.2667	1805.6	4560.9333	1377.6667	psols
218.76	8.7504	2798.6667	1647.2667	3950.0667	1151.4	psols
218.95	9.45	695	347.5	1390	521.25	psols
218.95	9.45	880	440	1760	660	psols
219.8	8.792	465	232.5	930	348.75	psols
220.123	8.8049	215	107.5	430	161.25	psols
