age	CO2 	CO2.1sig
14.696689	228.91	0.44
14.706958	228.18	0.77
14.718124	230.53	1.10
14.730883	234.54	1.23
14.743189	231.48	1.10
14.758515	227.90	0.75
14.763412	224.64	0.78
14.776283	227.39	1.12
14.787831	227.79	0.23
14.799135	228.50	1.02
14.810614	227.58	0.43
14.822391	226.51	0.70
14.83475	228.40	0.01
14.844772	227.87	0.41
14.857525	233.17	1.47
14.869177	232.22	0.59
14.880662	227.85	1.11
14.892457	230.63	1.24
14.904212	228.72	0.54
14.915908	228.36	0.53
14.92902	228.47	0.34
14.953662	228.89	1.23
14.976478	229.79	2.09
14.987256	227.65	1.22
15.01148	228.37	1.02
15.034777	225.38	0.84
15.072534	228.99	0.24
15.09581	234.47	0.02
15.133528	229.67	0.63
15.156516	228.81	0.89
15.181113	227.84	1.04
15.218875	230.18	0.33
15.243443	228.27	1.21
15.280741	225.77	0.92
15.320944	227.64	1.42
15.345237	228.92	0.96
15.382846	225.39	1.57
15.410078	224.74	0.75
15.462934	223.27	1.38
15.546395	223.53	0.35
15.64943	222.76	1.37
15.704787	222.16	0.57
15.767681	224.86	1.87
15.844953	222.36	0.44
15.920254	223.51	0.65
15.936522	223.77	0.64
15.995492	223.72	2.06
15.998978	224.41	0.18
16.01467	222.39	0.89
16.033783	224.48	1.43
16.083	224.24	0.82
16.114135	222.41	1.31
16.151209	224.86	1.02
16.166707	226.19	0.07
16.187461	221.49	1.18
16.208708	227.32	1.21
16.222957	223.24	0.55
16.240564	220.49	1.06
16.260727	218.56	0.97
16.278743	214.22	0.59
16.296958	212.84	0.75
16.317429	214.60	0.60
16.337251	212.43	1.19
16.354228	214.83	1.20
16.374888	211.21	0.50
16.391886	209.51	0.82
16.410706	212.95	0.94
16.431323	211.79	1.81
16.458381	217.19	0.28
16.472034	213.94	1.11
16.509932	207.95	0.12
16.553509	208.65	0.52
16.590012	208.46	0.84
16.655879	213.15	0.81
16.733528	210.25	1.10
16.797545	205.53	0.96
16.869315	205.19	0.96
16.928831	202.93	0.68
16.994774	204.32	1.09
17.091847	202.10	1.05
17.163698	198.63	1.30
17.236245	198.29	0.78
17.287896	195.88	0.50
17.311873	194.65	0.27
17.360496	190.50	0.91
17.385299	193.02	0.39
17.410026	191.89	0.27
17.434971	190.76	0.47
17.460991	193.00	0.46
17.485291	191.48	0.50
17.510868	191.59	0.05
17.534589	192.37	0.61
17.561459	192.62	0.30
17.586251	196.96	0.86
17.612004	195.79	0.24
17.637878	193.21	1.23
17.665057	194.38	0.56
17.691214	191.52	1.33
17.717049	189.52	0.56
17.74375	190.41	0.24
17.769713	191.70	0.33
17.797574	187.25	0.66
17.825432	191.21	1.24
17.854603	189.52	0.72
17.880995	190.26	1.19
17.907158	191.72	0.26
17.935988	188.54	0.98
17.965825	188.66	0.10
17.992042	188.96	0.64
18.02445	187.79	1.10
18.050092	187.73	0.50
18.081597	188.64	0.47
18.110627	188.59	1.48
18.139755	184.88	0.23
18.173163	189.01	1.13
18.201792	185.65	0.95
18.232181	188.88	0.47
18.264682	188.52	1.16
18.295805	189.03	0.19
18.324393	187.12	0.84
18.360352	188.73	0.18
18.391159	188.21	1.16
18.422425	188.47	0.75
18.457829	187.45	1.07
18.486591	187.09	0.70
18.519994	187.67	0.14
18.582943	188.57	0.62
18.677396	193.90	0.50
18.747045	191.27	1.01
18.803635	192.97	1.10
18.835152	188.44	0.82
18.866913	188.50	0.53
18.993816	192.71	1.75
19.152786	191.09	1.12
19.282155	191.58	0.84
19.442725	191.52	1.30
19.568151	188.95	0.25
19.629493	191.42	0.59
19.791188	193.60	0.53
19.883882	196.06	0.42
20.018696	193.72	0.75
20.213307	190.47	1.21
20.407601	189.99	0.65
20.536804	193.93	0.69
20.666489	187.76	0.93
20.828392	192.66	1.09
20.964428	190.87	0.82
21.06769	188.40	0.87
21.212702	190.05	0.07
21.345184	187.24	1.16
21.562853	185.23	0.31
21.790593	187.96	0.22
21.913629	190.78	0.95
22.055594	187.38	1.55
22.230886	191.27	0.99
22.2922	187.22	0.45
22.3476	187.02	1.25
22.5501	184.68	0.20
22.6041	185.21	1.63
22.6508	188.49	0.23
22.7493	190.01	0.25
22.8336	186.13	0.13
22.994	189.40	1.13
23.0138	190.53	0.64
23.1073	190.08	0.82
23.185	188.60	0.87
23.2767	197.67	1.29
23.3584	193.53	1.72
23.4452	186.78	0.46
23.6005	187.99	0.41
23.8738	183.13	0.03
24.0777	184.68	0.62
24.2698	186.73	0.92
24.6436	180.57	2.72
25.1636	180.69	0.78
25.3511	182.66	0.08
25.5436	183.38	0.62
25.786	186.54	0.58
26.016	184.52	0.41
26.2545	184.57	0.52
26.315	183.77	0.53
26.4607	186.01	0.81
26.5371	185.51	0.53
26.7037	185.44	0.33
26.8578	186.43	0.22
26.9549	188.08	0.80
27.042	187.39	0.21
